YYMMMDD,u0(m),____up(m),sig_u(m)
99DEC10,783,0.033426,0.002437
99DEC11,783,0.025594,0.00241
99DEC12,783,0.01899,0.00239
99DEC13,783,0.031789,0.002293
99DEC14,783,0.017943,0.00233
99DEC15,783,0.01654,0.002838
99DEC16,783,0.016509,0.002479
99DEC17,783,0.017411,0.002547
99DEC18,783,0.03132,0.002481
99DEC19,783,0.019772,0.002411
99DEC20,783,0.018456,0.002336
99DEC21,783,0.021856,0.00251
99DEC22,783,0.027415,0.002386
99DEC23,783,0.001665,0.002416
99DEC24,783,0.017191,0.002403
99DEC25,783,0.018978,0.002442
99DEC26,783,0.015071,0.002381
99DEC27,783,0.020986,0.002367
99DEC28,783,0.022352,0.002431
99DEC29,783,0.006079,0.002364
99DEC30,783,0.014774,0.002446
99DEC31,783,0.013757,0.002331
00JAN01,783,0.007781,0.002454
00JAN02,783,0.01731,0.002571
00JAN03,783,0.010011,0.002332
00JAN04,783,0.012943,0.002437
00JAN05,783,0.006266,0.002318
00JAN06,783,-0.009165,0.002394
00JAN07,783,-0.003358,0.002461
00JAN08,783,0.009794,0.002366
00JAN13,783,0.032111,0.002742
00JAN14,783,0.025761,0.002966
00JAN15,783,0.007675,0.002448
00JAN16,783,0.010031,0.002279
00JAN17,783,-0.000209,0.002338
00JAN18,783,0.019079,0.002262
00JAN19,783,0.011724,0.002314
00JAN20,783,0.020237,0.002279
00JAN21,783,0.010576,0.002308
00JAN22,783,0.008157,0.002422
00JAN23,783,-0.005522,0.002323
00JAN24,783,0.020295,0.002291
00JAN25,783,0.014027,0.002251
00JAN26,783,0.0199,0.002319
00JAN27,783,0.006222,0.002682
00JAN28,783,-0.000874,0.002399
00JAN29,783,0.021169,0.002379
00JAN30,783,0.021647,0.002329
00JAN31,783,0.02531,0.002304
00FEB01,783,0.016386,0.002296
00FEB02,783,0.023268,0.002271
00FEB03,783,0.024353,0.002334
00FEB04,783,0.017733,0.002222
00FEB05,783,0.020002,0.002224
00FEB06,783,0.019698,0.002265
00FEB07,783,0.022485,0.002269
00FEB08,783,0.023051,0.002275
00FEB09,783,0.023627,0.002256
00FEB10,783,0.021338,0.00233
00FEB11,783,0.021651,0.002231
00FEB12,783,0.022645,0.002476
00FEB13,783,0.028948,0.002172
00FEB14,783,0.029097,0.002322
00FEB15,783,0.036816,0.002249
00FEB16,783,0.031206,0.002276
00FEB17,783,0.030169,0.002285
00FEB18,783,0.026388,0.002205
00FEB19,783,0.021233,0.002275
00FEB20,783,0.029051,0.002378
00FEB21,783,0.019597,0.002286
00FEB22,783,0.016144,0.002266
00FEB23,783,0.027154,0.002357
00FEB24,783,0.024088,0.00226
00FEB25,783,0.024494,0.00218
00FEB26,783,0.024387,0.002297
00FEB27,783,0.020276,0.002264
00FEB28,783,0.017553,0.002369
00FEB29,783,0.017517,0.002357
00MAR01,783,0.027536,0.002371
00MAR02,783,0.032245,0.002326
00MAR03,783,0.030115,0.002395
00MAR04,783,0.025697,0.002475
00MAR05,783,0.039364,0.002337
00MAR06,783,0.030208,0.002328
00MAR07,783,0.03334,0.002281
00MAR08,783,0.039745,0.002377
00MAR09,783,0.026638,0.002419
00MAR10,783,0.036278,0.002432
00MAR11,783,0.042791,0.002406
00MAR12,783,0.030182,0.002503
00MAR13,783,0.031042,0.002435
00MAR14,783,0.025854,0.00246
00MAR15,783,0.035555,0.002512
00MAR16,783,0.020502,0.002541
00MAR17,783,0.034729,0.002441
00MAR18,783,0.035509,0.002444
00MAR19,783,0.024704,0.002563
00MAR20,783,0.0302,0.002569
00MAR21,783,0.031972,0.002531
00MAR22,783,0.02543,0.002559
00MAR23,783,0.026211,0.002534
00MAR24,783,0.017616,0.002518
00MAR25,783,0.007269,0.002354
00MAR26,783,0.034609,0.002653
00MAR27,783,0.02866,0.002522
00MAR28,783,0.027026,0.002449
00MAR29,783,0.030174,0.002518
00MAR30,783,0.038449,0.002381
00MAR31,783,0.0387,0.0025
00APR01,783,0.025003,0.002448
00APR02,783,0.03975,0.002351
00APR03,783,0.018934,0.002318
00APR04,783,0.012038,0.00238
00APR05,783,0.022065,0.002255
00APR06,783,0.021765,0.002385
00APR07,783,0.021292,0.002309
00APR08,783,0.029506,0.002336
00APR09,783,0.035879,0.002391
00APR10,783,0.026961,0.002356
00APR11,783,0.041245,0.002337
00APR12,783,0.038215,0.002363
00APR13,783,0.029206,0.002385
00APR14,783,0.030284,0.002313
00APR15,783,0.015159,0.002343
00APR16,783,0.018617,0.002241
00APR17,783,0.021651,0.002289
00APR18,783,0.027044,0.002277
00APR19,783,0.021111,0.002389
00APR20,783,0.020872,0.002324
00APR21,783,0.026663,0.002437
00APR22,783,0.025322,0.002348
00APR23,783,0.034259,0.002402
00APR24,783,0.025658,0.002441
00APR25,783,0.031515,0.002409
00APR26,783,0.02466,0.0024
00APR27,783,0.042267,0.002318
00APR28,783,0.01698,0.002343
00APR29,783,0.036415,0.002278
00APR30,783,0.026469,0.00232
00MAY01,783,0.02714,0.002279
00MAY02,783,0.025146,0.002361
00MAY03,783,0.019175,0.002456
00MAY04,783,0.021087,0.002288
00MAY05,783,0.020456,0.002373
00MAY06,783,0.025809,0.002385
00MAY07,783,0.027437,0.00236
00MAY08,783,0.029617,0.002318
00MAY09,783,0.028107,0.00232
00MAY10,783,0.024821,0.002361
00MAY11,783,0.030577,0.002402
00MAY12,783,0.01773,0.002273
00MAY13,783,0.019838,0.002295
00MAY14,783,0.022124,0.002335
00MAY15,783,0.029547,0.002314
00MAY16,783,0.041509,0.002265
00MAY17,783,0.037018,0.002208
00MAY18,783,0.028529,0.002241
00MAY19,783,0.031028,0.002264
00MAY20,783,0.025344,0.002266
00MAY21,783,0.02262,0.002376
00MAY22,783,0.027586,0.002359
00MAY23,783,0.029308,0.002368
00MAY24,783,0.033524,0.002363
00MAY25,783,0.025458,0.002426
00MAY26,783,0.034959,0.002325
00MAY27,783,0.028745,0.002503
00MAY28,783,0.025488,0.002286
00MAY29,783,0.028378,0.002313
00MAY30,783,0.030207,0.002275
00MAY31,783,0.033073,0.002246
00JUN01,783,0.025165,0.002268
00JUN02,783,0.030056,0.002302
00JUN03,783,0.030167,0.002296
00JUN04,783,0.023465,0.002388
00JUN05,783,0.014465,0.002323
00JUN06,783,0.022217,0.002472
00JUN07,783,0.030455,0.0024
00JUN08,783,0.026094,0.002259
00JUN09,783,0.015241,0.002294
00JUN10,783,0.027,0.002294
00JUN11,783,0.035204,0.0023
00JUN12,783,0.016455,0.002378
00JUN13,783,0.025102,0.002335
00JUN14,783,0.031314,0.002319
00JUN15,783,0.025322,0.002269
00JUN16,783,0.007389,0.002326
00JUN17,783,0.011819,0.002288
00JUN18,783,0.028704,0.002377
00JUN19,783,0.019688,0.002624
00JUN21,783,0.031532,0.00249
00JUN22,783,0.023521,0.002399
00JUN23,783,0.014194,0.002268
00JUN24,783,0.028108,0.002342
00JUN25,783,0.029431,0.002408
00JUN26,783,0.044897,0.002423
00JUN27,783,0.024346,0.002342
00JUN28,783,0.018203,0.002319
00JUN29,783,0.030831,0.002286
00JUN30,783,0.028222,0.002326
00JUL01,783,0.024063,0.002418
00JUL02,783,0.025722,0.002372
00JUL03,783,0.026368,0.002359
00JUL04,783,0.02268,0.002312
00JUL05,783,0.024842,0.002429
00JUL06,783,0.035335,0.002411
00JUL07,783,0.019719,0.002274
00JUL08,783,0.036741,0.002356
00JUL09,783,0.020585,0.002593
00JUL10,783,0.036646,0.0025
00JUL11,783,0.027819,0.002418
00JUL12,783,0.03165,0.002367
00JUL13,783,0.026115,0.002351
00JUL14,783,0.017882,0.002369
00JUL15,783,0.024749,0.002395
00JUL16,783,0.02291,0.002329
00JUL17,783,0.029717,0.002382
00JUL18,783,0.020112,0.002366
00JUL19,783,0.022822,0.002524
00JUL20,783,0.045982,0.002385
00JUL21,783,0.02588,0.002487
00JUL22,783,0.021792,0.002417
00JUL23,783,0.008446,0.002456
00JUL24,783,0.01741,0.002431
00JUL25,783,0.005734,0.00245
00JUL26,783,0.013496,0.002446
00JUL27,783,0.016371,0.002415
00JUL28,783,0.026928,0.002602
00JUL29,783,0.015146,0.002493
00JUL30,783,0.025727,0.002372
00JUL31,783,0.02293,0.002386
00AUG01,783,0.037351,0.00258
00AUG02,783,0.030519,0.00243
00AUG03,783,0.015958,0.002437
00AUG04,783,0.022691,0.002502
00AUG05,783,0.01881,0.002627
00AUG08,783,0.016094,0.003021
00AUG09,783,0.004344,0.002662
00AUG10,783,0.010609,0.002799
00AUG11,783,0.018116,0.002435
00AUG12,783,0.031206,0.002517
00AUG13,783,0.024996,0.002699
00AUG14,783,0.025681,0.0025
00AUG15,783,0.025378,0.002537
00AUG16,783,0.02581,0.002425
00AUG17,783,0.021182,0.002577
00AUG18,783,0.004847,0.002544
00AUG19,783,0.008387,0.002383
00AUG21,783,0.015209,0.002389
00AUG22,783,0.022291,0.002477
00AUG23,783,0.017373,0.002519
00AUG24,783,0.021151,0.002698
00AUG25,783,0.023065,0.00248
00AUG26,783,0.014006,0.002438
00AUG27,783,0.02129,0.002389
00AUG28,783,0.0107,0.002497
00AUG29,783,0.013031,0.002324
00AUG30,783,0.017278,0.002394
00AUG31,783,0.022973,0.002383
00SEP01,783,0.034959,0.002418
00SEP02,783,0.017981,0.002565
00SEP03,783,0.023814,0.002525
00SEP04,783,0.034989,0.002469
00SEP05,783,0.028154,0.002415
00SEP06,783,0.020357,0.002492
00SEP07,783,0.021869,0.002512
00SEP08,783,0.041514,0.002359
00SEP09,783,0.031644,0.002465
00SEP10,783,0.028606,0.002479
00SEP11,783,0.039485,0.00248
00SEP12,783,0.035223,0.002362
00SEP13,783,0.028796,0.002377
00SEP14,783,0.026083,0.002411
00SEP15,783,0.042322,0.002398
00SEP16,783,0.029258,0.002315
00SEP17,783,0.031904,0.002291
00SEP18,783,0.023587,0.002301
00SEP19,783,0.025234,0.002471
00SEP20,783,0.030117,0.002298
00SEP21,783,0.036837,0.002324
00SEP22,783,0.024372,0.002279
00SEP23,783,0.025586,0.002316
00SEP24,783,0.02318,0.002407
00SEP25,783,0.033028,0.002329
00SEP26,783,0.025056,0.002265
00SEP27,783,0.035493,0.002423
00SEP28,783,0.062759,0.002381
00SEP29,783,0.037702,0.002373
00SEP30,783,0.027399,0.00248
00OCT01,783,0.05881,0.002387
00OCT02,783,0.027528,0.002381
00OCT03,783,0.015711,0.002408
00OCT04,783,0.030819,0.002307
00OCT05,783,0.04317,0.002587
00OCT06,783,0.024862,0.002262
00OCT07,783,0.030698,0.002281
00OCT08,783,0.020491,0.002293
00OCT09,783,0.023927,0.002317
00OCT10,783,0.022437,0.002366
00OCT11,783,0.020346,0.002358
00OCT12,783,0.021499,0.002353
00OCT13,783,0.009028,0.002365
00OCT14,783,0.025225,0.002327
00OCT15,783,0.011279,0.002294
00OCT16,783,0.024311,0.002304
00OCT17,783,0.018427,0.002359
00OCT18,783,0.028182,0.002319
00OCT19,783,0.058471,0.002468
00OCT20,783,0.026529,0.002245
00OCT21,783,0.029103,0.002275
00OCT22,783,0.03302,0.002304
00OCT23,783,0.037608,0.002362
00OCT24,783,0.035607,0.002292
