"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-04",,,"0.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-05",,,"3.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-06",,,"14.2","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-07",,,"3.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-08",,,"0.5","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-09",,,"15.5","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-10",,,"0.5","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-11",,,"3.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-12",,,"1.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-13",,,"9.7","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-14",,,"13.5","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-15",,,"2.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-16",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-17",,,"19.6","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-18",,,"4.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-19",,,"138.4","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-20",,,"22.9","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-21",,,"0.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-22",,,"8.9","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-23",,,"11.2","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-24",,,"16.0","0.0","0.0"
