#Site   lat/deg     lon/deg    Nvel/cm    Nerr/cm   Evel/cm   Nerr/cm   Uvel/cm   Uerr/cm
JCUZ    19.38410  -155.10159     -0.69      0.07      0.28      0.08      0.17      0.30
KAMO    19.39470  -155.12199     -0.51      0.07      0.12      0.08      0.16      0.29
KTPM    19.34130  -155.16010     -0.64      0.07      0.37      0.08      1.03      0.30
MKAI    19.35560  -155.17560     -0.75      0.07     -0.00      0.08      1.23      0.28
MMAU    19.37380  -155.17810     -0.52      0.07      0.07      0.08      0.75      0.28
NPOC    19.39300  -155.10960     -0.50      0.07      0.32      0.08     -0.31      0.31
NUPM    19.38470  -155.17529     -0.39      0.07      0.21      0.07      0.94      0.27
PUOC    19.39030  -155.10640      6.08      0.32     -1.84      0.75      2.80      0.74
