#Site   lat/deg     lon/deg    Nvel/cm    Nerr/cm   Evel/cm   Nerr/cm   Uvel/cm   Uerr/cm
JCUZ    19.38410  -155.10159      0.27      0.07     -0.04      0.08     -0.78      0.30
KAMO    19.39470  -155.12199      0.16      0.07      0.11      0.08     -1.24      0.29
KTPM    19.34130  -155.16010      0.10      0.07      0.06      0.08      0.48      0.30
MKAI    19.35560  -155.17560      0.37      0.07      0.19      0.08      0.17      0.28
MMAU    19.37380  -155.17810      0.22      0.07      0.19      0.08     -0.93      0.29
NPOC    19.39300  -155.10960      0.21      0.07     -0.08      0.08     -1.03      0.31
NUPM    19.38470  -155.17529      0.22      0.07     -0.16      0.07     -0.94      0.28
PUOC    19.39030  -155.10640      4.99      0.34     -2.26      0.80      0.49      0.78
