YYMMMDD,u0(m),____up(m),sig_u(m)
10-Dec-14,892,0.904796,0.001961
10-Dec-15,892,0.898816,0.001916
10-Dec-16,892,0.897406,0.001926
10-Dec-17,892,0.903986,0.001968
10-Dec-18,892,0.901955,0.001913
10-Dec-19,892,0.902991,0.001924
10-Dec-20,892,0.906266,0.001921
10-Dec-21,892,0.902823,0.001906
10-Dec-22,892,0.906019,0.001893
10-Dec-23,892,0.908486,0.001927
10-Dec-24,892,0.918597,0.001905
10-Dec-25,892,0.902703,0.001948
10-Dec-26,892,0.911577,0.001926
10-Dec-27,892,0.910704,0.001944
10-Dec-28,892,0.9104,0.001954
10-Dec-29,892,0.905636,0.001976
10-Dec-30,892,0.89593,0.001962
10-Dec-31,892,0.892517,0.001935
11-Jan-01,892,0.896371,0.001957
11-Jan-02,892,0.888333,0.001934
11-Jan-03,892,0.901819,0.001994
11-Jan-04,892,0.897643,0.002049
11-Jan-05,892,0.902078,0.001967
11-Jan-06,892,0.902322,0.001954
11-Jan-07,892,0.911112,0.00193
11-Jan-08,892,0.901983,0.001917
11-Jan-09,892,0.903647,0.001918
11-Jan-10,892,0.907165,0.001986
11-Jan-11,892,0.913032,0.002019
11-Jan-12,892,0.916561,0.002029
11-Jan-13,892,0.902808,0.001984
11-Jan-14,892,0.915255,0.001951
11-Jan-15,892,0.90505,0.001919
11-Jan-16,892,0.903476,0.001922
11-Jan-17,892,0.895964,0.001918
11-Jan-18,892,0.897886,0.001986
11-Jan-19,892,0.906098,0.001943
11-Jan-20,892,0.90686,0.001923
11-Jan-21,892,0.905063,0.001932
11-Jan-22,892,0.907282,0.001914
11-Jan-23,892,0.898486,0.001943
11-Jan-24,892,0.906409,0.00193
11-Jan-25,892,0.9008,0.001903
11-Jan-26,892,0.905164,0.001935
11-Jan-27,892,0.894824,0.001937
11-Jan-28,892,0.900664,0.001931
11-Jan-29,892,0.903689,0.001921
11-Jan-30,892,0.907396,0.001922
11-Jan-31,892,0.912828,0.001943
11-Feb-01,892,0.908054,0.001931
11-Feb-02,892,0.895915,0.001942
11-Feb-03,892,0.890778,0.001906
11-Feb-04,892,0.901591,0.001932
11-Feb-05,892,0.906266,0.001949
11-Feb-06,892,0.916558,0.001928
11-Feb-07,892,0.905215,0.001925
11-Feb-08,892,0.908355,0.001924
11-Feb-09,892,0.906232,0.001934
11-Feb-10,892,0.914946,0.001932
11-Feb-11,892,0.920141,0.001927
11-Feb-12,892,0.91254,0.001909
11-Feb-13,892,0.91588,0.001914
11-Feb-14,892,0.906225,0.001964
11-Feb-15,892,0.915019,0.002015
11-Feb-16,892,0.915677,0.001975
11-Feb-17,892,0.91297,0.001945
11-Feb-18,892,0.906462,0.001912
11-Feb-19,892,0.907716,0.001909
11-Feb-20,892,0.918102,0.00191
11-Feb-21,892,0.909909,0.001906
11-Feb-22,892,0.917457,0.001951
11-Feb-23,892,0.909299,0.001978
11-Feb-24,892,0.90257,0.001923
11-Feb-25,892,0.90981,0.001913
11-Feb-26,892,0.916647,0.001946
11-Feb-27,892,0.906098,0.001912
11-Feb-28,892,0.913064,0.001942
11-Mar-01,892,0.916409,0.001874
11-Mar-02,892,0.914057,0.001883
11-Mar-03,892,0.9199,0.001923
11-Mar-04,892,0.924737,0.001956
11-Mar-05,892,0.924082,0.001986
11-Mar-06,892,0.921771,0.001921
11-Mar-07,892,0.91533,0.001902
11-Mar-08,892,0.933646,0.001918
11-Mar-09,892,0.913956,0.001981
11-Mar-10,892,0.912449,0.001981
11-Mar-11,892,0.919226,0.001922
11-Mar-12,892,0.92364,0.002154
11-Mar-13,892,0.928526,0.002371
11-Mar-14,892,0.928271,0.001903
11-Mar-15,892,0.922652,0.002364
